solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
GUROBI;15Cap30.txt;600;12,06;0;5313,0;1944,9;1944,9;10200;20100;34136;200;7118;14136;1025,76667;10430,4;1025,76667;1829,9351;2387,0;0,0;200;373;40;29;;103;29;3
CBC;15Cap30.txt;600;367,95;0;11494;1944,9;1944,9;10200;20100;34136;200;7118;14136;1864,4573;5894,8;1864,4573;;;;;;;;;;;
CPLEX;15Cap40.txt;120;13,17;0;6498,0;1890,4;1890,4;200;7118;14136;200;5246;10392;0,0;94340,1;0,0;1800,5361;1967,2;3,69;248;615;20;13;;118;;24
GUROBI;15Cap40.txt;120;15,75;0;6870,0;1890,4;1890,4;10200;20100;34136;200;7118;14136;855,1;10180,4;855,1;1761,60608;2263,6;1,0;226;444;24;28;;97;45;4
CBC;15Cap40.txt;120;68,0;0;1316;1890,4;1890,4;10200;20100;34136;200;7118;14136;1799,159;6019,4;1799,159;;;;;;;;;;;
CPLEX;15Cap40.txt;300;13,12;0;6498,0;1890,4;1890,4;200;7118;14136;200;5246;10392;0,0;94340,1;0,0;1800,5361;1967,2;3,65;248;615;20;13;;118;;24
GUROBI;15Cap40.txt;300;15,82;0;6870,0;1890,4;1890,4;10200;20100;34136;200;7118;14136;855,1;10180,4;855,1;1761,60608;2263,6;1,0;226;444;24;28;;97;45;4
CBC;15Cap40.txt;300;67,98;0;1316;1890,4;1890,4;10200;20100;34136;200;7118;14136;1799,159;6019,4;1799,159;;;;;;;;;;;
CPLEX;15Cap40.txt;600;13,07;0;6498,0;1890,4;1890,4;200;7118;14136;200;5246;10392;0,0;94340,1;0,0;1800,5361;1967,2;3,62;248;615;20;13;;118;;24
GUROBI;15Cap40.txt;600;15,79;0;6870,0;1890,4;1890,4;10200;20100;34136;200;7118;14136;855,1;10180,4;855,1;1761,60608;2263,6;1,0;226;444;24;28;;97;45;4
CBC;15Cap40.txt;600;68,1;0;1316;1890,4;1890,4;10200;20100;34136;200;7118;14136;1799,159;6019,4;1799,159;;;;;;;;;;;
CPLEX;15Cap50.txt;120;10,16;0;4809,0;1879,7;1879,7;200;7118;14136;200;5305;10510;0,0;115855,9;0,0;1789,5212;2026,0;3,5;290;601;21;4;;77;;28
GUROBI;15Cap50.txt;120;12,43;0;5210,0;1879,7;1879,7;10200;20100;34136;200;7118;14136;744,3;10189,0;744,3;1757,33429;2352,8;1,0;281;453;14;23;;96;58;2
CBC;15Cap50.txt;120;119,97;7,295317275317275;3529;1930,5;1789,6639;10200;20100;34136;200;7118;14136;1789,6639;6292,7;1789,6639;;;;;;;;;;;
CPLEX;15Cap50.txt;300;10,22;0;4809,0;1879,7;1879,7;200;7118;14136;200;5305;10510;0,0;115855,9;0,0;1789,5212;2026,0;3,55;290;601;21;4;;77;;28
GUROBI;15Cap50.txt;300;12,48;0;5210,0;1879,7;1879,7;10200;20100;34136;200;7118;14136;744,3;10189,0;744,3;1757,33429;2352,8;1,0;281;453;14;23;;96;58;2
CBC;15Cap50.txt;300;216,28;0;6159;1879,7;1879,7;10200;20100;34136;200;7118;14136;1789,6639;6292,7;1789,6639;;;;;;;;;;;
CPLEX;15Cap50.txt;600;10,27;0;4809,0;1879,7;1879,7;200;7118;14136;200;5305;10510;0,0;115855,9;0,0;1789,5212;2026,0;3,53;290;601;21;4;;77;;28
GUROBI;15Cap50.txt;600;12,48;0;5210,0;1879,7;1879,7;10200;20100;34136;200;7118;14136;744,3;10189,0;744,3;1757,33429;2352,8;1,0;281;453;14;23;;96;58;2
CBC;15Cap50.txt;600;216,44;0;6159;1879,7;1879,7;10200;20100;34136;200;7118;14136;1789,6639;6292,7;1789,6639;;;;;;;;;;;
CPLEX;16Cap10.txt;120;2,17;0;497,0;2926,4;2926,4;200;7153;14206;200;3749;7398;0,0;36840,8;0,0;2906,4563;2938,7;1,88;80;311;12;19;;49;;78
GUROBI;16Cap10.txt;120;4,72;0;2783,0;2926,4;2926,4;10200;20100;34206;200;7153;14206;2297,0;9451,2;2297,0;2893,9796;2971,1;1,0;54;132;55;28;;64;21;9
CBC;16Cap10.txt;120;21,77;0;1056;2926,400000000001;2926,400000000001;10200;20100;34206;200;7153;14206;2896,3046;3419,1;2896,3046;;;;;;;;;;;
CPLEX;16Cap10.txt;300;2,1;0;497,0;2926,4;2926,4;200;7153;14206;200;3749;7398;0,0;36840,8;0,0;2906,4563;2938,7;1,81;80;311;12;19;;49;;78
GUROBI;16Cap10.txt;300;4,72;0;2783,0;2926,4;2926,4;10200;20100;34206;200;7153;14206;2297,0;9451,2;2297,0;2893,9796;2971,1;1,0;54;132;55;28;;64;21;9
CBC;16Cap10.txt;300;21,71;0;1056;2926,400000000001;2926,400000000001;10200;20100;34206;200;7153;14206;2896,3046;3419,1;2896,3046;;;;;;;;;;;
CPLEX;16Cap10.txt;600;2,09;0;497,0;2926,4;2926,4;200;7153;14206;200;3749;7398;0,0;36840,8;0,0;2906,4563;2938,7;1,8;80;311;12;19;;49;;78
GUROBI;16Cap10.txt;600;4,71;0;2783,0;2926,4;2926,4;10200;20100;34206;200;7153;14206;2297,0;9451,2;2297,0;2893,9796;2971,1;1,0;54;132;55;28;;64;21;9
CBC;16Cap10.txt;600;21,76;0;1056;2926,400000000001;2926,400000000001;10200;20100;34206;200;7153;14206;2896,3046;3419,1;2896,3046;;;;;;;;;;;
CPLEX;16Cap20.txt;120;14,02;0;10101,0;2235,6;2235,3771343;200;7153;14206;200;4862;9624;0,0;56504,1;0,0;2174,1363;2395,0;2,08;162;709;15;9;;87;;33
GUROBI;16Cap20.txt;120;34,13;0;36705,0;2235,6;2235,5;10200;20100;34206;200;7153;14206;1447,4;9519,1;1447,4;2152,81571;2355,2;0,0;97;302;134;25;;141;42;8
CBC;16Cap20.txt;120;119,96;3,824147273050272;5124;2251,6;2165,4955;10200;20100;34206;200;7153;14206;2165,4955;6358,6;2165,4955;;;;;;;;;;;
