solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;17Cap40.txt;120;119,95;9,499995213478831;4607;2089,2;1890,7261;10200;20100;34102;200;7101;14102;1890,7261;6820,7;1890,7261;;;;;;;;;;;
CPLEX;17Cap40.txt;300;16,95;0;9588,0;2015,8;2015,6345489;200;7101;14102;200;7040;13980;0,0;100074,8;0,0;1890,5013;2145,0;3,2;290;644;10;12;;64;;19
GUROBI;17Cap40.txt;300;27,41;0;20374,0;2015,8;2015,8;10200;20100;34102;200;7101;14102;912,3;10275,4;912,3;1860,52005;2362,4;1,0;249;425;21;29;;105;40;3
CBC;17Cap40.txt;300;299,87;9,499995213478831;11100;2089,2;1890,7261;10200;20100;34102;200;7101;14102;1890,7261;6820,7;1890,7261;;;;;;;;;;;
CPLEX;17Cap40.txt;600;16,92;0;9588,0;2015,8;2015,6345489;200;7101;14102;200;7040;13980;0,0;100074,8;0,0;1890,5013;2145,0;3,17;290;644;10;12;;64;;19
GUROBI;17Cap40.txt;600;27,44;0;20374,0;2015,8;2015,8;10200;20100;34102;200;7101;14102;912,3;10275,4;912,3;1860,52005;2362,4;1,0;249;425;21;29;;105;40;3
CBC;17Cap40.txt;600;497,42;0;16759;2015,8;2015,8;10200;20100;34102;200;7101;14102;1890,7261;6820,7;1890,7261;;;;;;;;;;;
CPLEX;17Cap50.txt;120;21,5;0;14642,0;2013,9;2013,7201065;200;7101;14102;200;7101;14102;0,0;119861,5;0,0;1877,6267;2173,9;3,82;320;608;10;6;;69;;16
GUROBI;17Cap50.txt;120;33,6;0;25901,0;2013,9;2013,9;10200;20100;34102;200;7101;14102;789,3;10277,6;789,3;1828,22366;2314,3;0,0;280;491;19;35;;117;52;2
CBC;17Cap50.txt;120;119,95;7,432143561427726;3971;2028,4;1877,6464;10200;20100;34102;200;7101;14102;1877,6464;6150,4;1877,6464;;;;;;;;;;;
CPLEX;17Cap50.txt;300;21,4;0;14642,0;2013,9;2013,7201065;200;7101;14102;200;7101;14102;0,0;119861,5;0,0;1877,6267;2173,9;3,77;320;608;10;6;;69;;16
GUROBI;17Cap50.txt;300;33,84;0;25901,0;2013,9;2013,9;10200;20100;34102;200;7101;14102;789,3;10277,6;789,3;1828,22366;2314,3;0,0;280;491;19;35;;117;52;2
CBC;17Cap50.txt;300;251,47;0;7716;2013,9;2013,9;10200;20100;34102;200;7101;14102;1877,6464;6150,4;1877,6464;;;;;;;;;;;
CPLEX;17Cap50.txt;600;21,43;0;14642,0;2013,9;2013,7201065;200;7101;14102;200;7101;14102;0,0;119861,5;0,0;1877,6267;2173,9;3,81;320;608;10;6;;69;;16
GUROBI;17Cap50.txt;600;33,82;0;25901,0;2013,9;2013,9;10200;20100;34102;200;7101;14102;789,3;10277,6;789,3;1828,22366;2314,3;0,0;280;491;19;35;;117;52;2
CBC;17Cap50.txt;600;252,01;0;7716;2013,9;2013,9;10200;20100;34102;200;7101;14102;1877,6464;6150,4;1877,6464;;;;;;;;;;;
CPLEX;18Cap10.txt;120;3,89;0;3746,0;2897,3;2897,0129698;200;7122;14144;200;4870;9640;0,0;36058,0;0,0;2865,1095;2905,9;2,11;73;422;8;22;;34;;64
GUROBI;18Cap10.txt;120;7,84;0;5940,0;2897,3;2897,3;10200;20100;34144;200;7122;14144;2131,7;10659,9;2131,7;2858,26133;2946,6;2,0;43;161;61;11;;96;35;6
CBC;18Cap10.txt;120;74,17;0;4082;2897,3;2897,3;10200;20100;34144;200;7122;14144;2847,3909;3469,5;2847,3909;;;;;;;;;;;
CPLEX;18Cap10.txt;300;3,94;0;3746,0;2897,3;2897,0129698;200;7122;14144;200;4870;9640;0,0;36058,0;0,0;2865,1095;2905,9;2,17;73;422;8;22;;34;;64
GUROBI;18Cap10.txt;300;7,84;0;5940,0;2897,3;2897,3;10200;20100;34144;200;7122;14144;2131,7;10659,9;2131,7;2858,26133;2946,6;2,0;43;161;61;11;;96;35;6
