solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;cap91;600;0,06;0;0,0;132122,10832;132122,10832;75;1274;2524;75;1274;2524;0,0;16459200,0;0,0;132122,1083;132122,1083;0,06;;;;1;30;;;;
GUROBI;cap91;600;0,03;0;1,0;132122,1083169;132122,1083169;75;1275;2525;75;1274;2524;129299,835;1927019,09;129299,835;132122,108;132122,108;0,0;;;;1;15;;;;
CBC;cap91;600;0,21;0;8;132122,1083169455;132122,1083169455;75;1275;2525;75;1274;2524;131556,13;145165,84;131556,13;;;;;;;;;;;;
CPLEX;cap92;120;0,04;0;0,0;151262,61786;151262,61786;75;1274;2524;75;1274;2524;0,0;16579200,0;0,0;151262,6179;151262,6179;0,04;;;;2;29;;;;
GUROBI;cap92;120;0,03;0;1,0;151262,617863;151262,617863;75;1275;2525;75;1274;2524;148324,927;2042019,09;148324,927;151262,618;151262,618;0,0;;;1;3;16;;1;1;
CBC;cap92;120;0,21;0;8;151262,6178630594;151262,6178630594;75;1275;2525;75;1274;2524;149928,01;185528,26;149928,01;;;;;;;;;;;;
CPLEX;cap92;300;0,05;0;0,0;151262,61786;151262,61786;75;1274;2524;75;1274;2524;0,0;16579200,0;0,0;151262,6179;151262,6179;0,05;;;;2;29;;;;
GUROBI;cap92;300;0,03;0;1,0;151262,617863;151262,617863;75;1275;2525;75;1274;2524;148324,927;2042019,09;148324,927;151262,618;151262,618;0,0;;;1;3;16;;1;1;
CBC;cap92;300;0,21;0;8;151262,6178630594;151262,6178630594;75;1275;2525;75;1274;2524;149928,01;185528,26;149928,01;;;;;;;;;;;;
CPLEX;cap92;600;0,06;0;0,0;151262,61786;151262,61786;75;1274;2524;75;1274;2524;0,0;16579200,0;0,0;151262,6179;151262,6179;0,06;;;;2;29;;;;
GUROBI;cap92;600;0,03;0;1,0;151262,617863;151262,617863;75;1275;2525;75;1274;2524;148324,927;2042019,09;148324,927;151262,618;151262,618;0,0;;;1;3;16;;1;1;
CBC;cap92;600;0,21;0;8;151262,6178630594;151262,6178630594;75;1275;2525;75;1274;2524;149928,01;185528,26;149928,01;;;;;;;;;;;;
CPLEX;cap93;120;0,06;0;0,0;166262,61786;166262,61786;75;1274;2524;75;1274;2524;0,0;16699200,0;0,0;166262,6179;166262,6179;0,06;;;;2;31;;;;
GUROBI;cap93;120;0,03;0;1,0;166262,617863;166262,617863;75;1275;2525;75;1274;2524;163341,272;2157019,09;163341,272;165938,188;166262,618;0,0;;;;2;15;;;;
CBC;cap93;120;0,09;0;4;166262,6178630594;166262,6178630594;75;1275;2525;75;1274;2524;165336,39;183914,87;165336,39;;;;;;;;;;;;
CPLEX;cap93;300;0,06;0;0,0;166262,61786;166262,61786;75;1274;2524;75;1274;2524;0,0;16699200,0;0,0;166262,6179;166262,6179;0,06;;;;2;31;;;;
GUROBI;cap93;300;0,03;0;1,0;166262,617863;166262,617863;75;1275;2525;75;1274;2524;163341,272;2157019,09;163341,272;165938,188;166262,618;0,0;;;;2;15;;;;
