solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
GUROBI;cap104;120;0,01;0;1,0;149586,35;149586,35;1325;2525;5025;74;824;1574;126414,455;476032,4;126414,455;149586,35;149586,35;0,0;45;5;;;;;1;1;
CBC;cap104;120;0,11;0;0;149586,3500000028;149586,3500000028;1325;2525;5025;74;1274;2474;;;;;;;;;;;;;;;
CPLEX;cap104;300;0,03;0;0,0;149586,35;149586,35;74;822;1572;74;822;1572;0,0;1781950,775;0,0;149586,35;149586,35;0,03;46;6;;4;1;;3;;
GUROBI;cap104;300;0,01;0;1,0;149586,35;149586,35;1325;2525;5025;74;824;1574;126414,455;476032,4;126414,455;149586,35;149586,35;0,0;45;5;;;;;1;1;
CBC;cap104;300;0,11;0;0;149586,3500000028;149586,3500000028;1325;2525;5025;74;1274;2474;;;;;;;;;;;;;;;
CPLEX;cap104;600;0,03;0;0,0;149586,35;149586,35;74;822;1572;74;822;1572;0,0;1781950,775;0,0;149586,35;149586,35;0,03;46;6;;4;1;;3;;
GUROBI;cap104;600;0,01;0;1,0;149586,35;149586,35;1325;2525;5025;74;824;1574;126414,455;476032,4;126414,455;149586,35;149586,35;0,0;45;5;;;;;1;1;
CBC;cap104;600;0,11;0;0;149586,3500000028;149586,3500000028;1325;2525;5025;74;1274;2474;;;;;;;;;;;;;;;
CPLEX;cap121;120;0,1;0;0,0;90656,0;90648,60467;100;2549;5049;55;228;447;0,0;51730900,0;0,0;90648,60467;90656,0;;7;9;1;5;;1;9;;2
GUROBI;cap121;120;0,06;0;1,0;90656,0;90656,0;2600;5050;10050;100;2549;5049;87865,5155;511071,487;87865,5155;90656,0;90656,0;0,0;2;1;;1;;;;2;
CBC;cap121;120;0,25;0;30;90656,00000000032;90656,00000000032;2600;5050;10050;100;2549;5049;89615,553;98184,825;89615,553;;;;;;;;;;;;
CPLEX;cap121;300;0,12;0;0,0;90656,0;90648,60467;100;2549;5049;55;228;447;0,0;51730900,0;0,0;90648,60467;90656,0;;7;9;1;5;;1;9;;2
GUROBI;cap121;300;0,06;0;1,0;90656,0;90656,0;2600;5050;10050;100;2549;5049;87865,5155;511071,487;87865,5155;90656,0;90656,0;0,0;2;1;;1;;;;2;
CBC;cap121;300;0,27;0;30;90656,00000000032;90656,00000000032;2600;5050;10050;100;2549;5049;89615,553;98184,825;89615,553;;;;;;;;;;;;
CPLEX;cap121;600;0,09;0;0,0;90656,0;90648,60467;100;2549;5049;55;228;447;0,0;51730900,0;0,0;90648,60467;90656,0;;7;9;1;5;;1;9;;2
GUROBI;cap121;600;0,06;0;1,0;90656,0;90656,0;2600;5050;10050;100;2549;5049;87865,5155;511071,487;87865,5155;90656,0;90656,0;0,0;2;1;;1;;;;2;
CBC;cap121;600;0,26;0;30;90656,00000000032;90656,00000000032;2600;5050;10050;100;2549;5049;89615,553;98184,825;89615,553;;;;;;;;;;;;
CPLEX;cap122;120;0,14;0;0,0;110656,0;110648,60467;100;2549;5049;44;156;307;0,0;51975900,0;0,0;110648,60467;110656,0;;10;4;2;5;1;;7;;2
GUROBI;cap122;120;0,08;0;36,0;110656,0;110656,0;2600;5050;10050;100;2549;5049;105308,804;671071,487;105308,804;110588,13;110656,0;0,0;8;9;;2;;3;7;4;
CBC;cap122;120;0,65;0;58;110656,0000000003;110656,0000000003;2600;5050;10050;100;2549;5049;107265,18;113937,6;107265,18;;;;;;;;;;;;
CPLEX;cap122;300;0,13;0;0,0;110656,0;110648,60467;100;2549;5049;44;156;307;0,0;51975900,0;0,0;110648,60467;110656,0;;10;4;2;5;1;;7;;2
GUROBI;cap122;300;0,08;0;36,0;110656,0;110656,0;2600;5050;10050;100;2549;5049;105308,804;671071,487;105308,804;110588,13;110656,0;0,0;8;9;;2;;3;7;4;
CBC;cap122;300;0,65;0;58;110656,0000000003;110656,0000000003;2600;5050;10050;100;2549;5049;107265,18;113937,6;107265,18;;;;;;;;;;;;
CPLEX;cap122;600;0,15;0;0,0;110656,0;110648,60467;100;2549;5049;44;156;307;0,0;51975900,0;0,0;110648,60467;110656,0;;10;4;2;5;1;;7;;2
GUROBI;cap122;600;0,08;0;36,0;110656,0;110656,0;2600;5050;10050;100;2549;5049;105308,804;671071,487;105308,804;110588,13;110656,0;0,0;8;9;;2;;3;7;4;
CBC;cap122;600;0,65;0;58;110656,0000000003;110656,0000000003;2600;5050;10050;100;2549;5049;107265,18;113937,6;107265,18;;;;;;;;;;;;
CPLEX;cap123;120;0,24;0;0,0;128298,0625;128285,91906;100;2549;5049;60;299;588;0,0;52220900,0;0,0;127395,582;128298,0625;;8;9;;5;;1;4;;7
GUROBI;cap123;120;0,08;0;64,0;128298,0624999;128298,0624999;2600;5050;10050;100;2549;5049;122497,609;831071,487;122497,609;128123,247;128298,062;0,0;7;10;;2;;3;5;7;
CBC;cap123;120;0,75;0;130;128298,0625000032;128298,0625000032;2600;5050;10050;100;2549;5049;124672,51;133937,6;124672,51;;;;;;;;;;;;
CPLEX;cap123;300;0,23;0;0,0;128298,0625;128285,91906;100;2549;5049;60;299;588;0,0;52220900,0;0,0;127395,582;128298,0625;;8;9;;5;;1;4;;7
GUROBI;cap123;300;0,07;0;64,0;128298,0624999;128298,0624999;2600;5050;10050;100;2549;5049;122497,609;831071,487;122497,609;128123,247;128298,062;0,0;7;10;;2;;3;5;7;
CBC;cap123;300;0,77;0;130;128298,0625000032;128298,0625000032;2600;5050;10050;100;2549;5049;124672,51;133937,6;124672,51;;;;;;;;;;;;
CPLEX;cap123;600;0,24;0;0,0;128298,0625;128285,91906;100;2549;5049;60;299;588;0,0;52220900,0;0,0;127395,582;128298,0625;;8;9;;5;;1;4;;7
GUROBI;cap123;600;0,08;0;64,0;128298,0624999;128298,0624999;2600;5050;10050;100;2549;5049;122497,609;831071,487;122497,609;128123,247;128298,062;0,0;7;10;;2;;3;5;7;
CBC;cap123;600;0,76;0;130;128298,0625000032;128298,0625000032;2600;5050;10050;100;2549;5049;124672,51;133937,6;124672,51;;;;;;;;;;;;
CPLEX;cap124;120;0,18;0;0,0;150798,0625;150784,96816;100;2549;5049;52;188;372;0,0;52588400,0;0,0;150784,96816;150798,0625;;13;10;5;4;;1;10;;2
GUROBI;cap124;120;0,08;0;114,0;150798,0624999;150798,0624999;2600;5050;10050;100;2549;5049;144131,609;1071071,49;144131,609;150657,424;150979,562;0,0;39;6;;6;;;7;7;
CBC;cap124;120;0,71;0;244;150798,0625000032;150798,0625000032;2600;5050;10050;100;2549;5049;150169,07;212910,95;150169,07;;;;;;;;;;;;
CPLEX;cap124;300;0,17;0;0,0;150798,0625;150784,96816;100;2549;5049;52;188;372;0,0;52588400,0;0,0;150784,96816;150798,0625;;13;10;5;4;;1;10;;2
GUROBI;cap124;300;0,08;0;114,0;150798,0624999;150798,0624999;2600;5050;10050;100;2549;5049;144131,609;1071071,49;144131,609;150657,424;150979,562;0,0;39;6;;6;;;7;7;
CBC;cap124;300;0,74;0;244;150798,0625000032;150798,0625000032;2600;5050;10050;100;2549;5049;150169,07;212910,95;150169,07;;;;;;;;;;;;
CPLEX;cap124;600;0,18;0;0,0;150798,0625;150784,96816;100;2549;5049;52;188;372;0,0;52588400,0;0,0;150784,96816;150798,0625;;13;10;5;4;;1;10;;2
GUROBI;cap124;600;0,08;0;114,0;150798,0624999;150798,0624999;2600;5050;10050;100;2549;5049;144131,609;1071071,49;144131,609;150657,424;150979,562;0,0;39;6;;6;;;7;7;
CBC;cap124;600;0,73;0;244;150798,0625000032;150798,0625000032;2600;5050;10050;100;2549;5049;150169,07;212910,95;150169,07;;;;;;;;;;;;
CPLEX;cap131;120;0,04;0;0,0;72404,4;72404,4;88;1146;2208;88;1146;2208;0,0;956157,1875;0,0;72404,4;72404,4;0,04;47;8;;3;;;3;;
GUROBI;cap131;120;0,02;0;1,0;72404,4;72404,4;2600;5050;10050;86;1146;2206;66153,6134;119055,875;66153,6134;72404,4;72404,4;0,0;43;6;;;;;;3;
CBC;cap131;120;0,17;0;0;72404,40000000072;72404,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap131;300;0,04;0;0,0;72404,4;72404,4;88;1146;2208;88;1146;2208;0,0;956157,1875;0,0;72404,4;72404,4;0,04;47;8;;3;;;3;;
GUROBI;cap131;300;0,02;0;1,0;72404,4;72404,4;2600;5050;10050;86;1146;2206;66153,6134;119055,875;66153,6134;72404,4;72404,4;0,0;43;6;;;;;;3;
CBC;cap131;300;0,18;0;0;72404,40000000072;72404,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap131;600;0,04;0;0,0;72404,4;72404,4;88;1146;2208;88;1146;2208;0,0;956157,1875;0,0;72404,4;72404,4;0,04;47;8;;3;;;3;;
GUROBI;cap131;600;0,02;0;1,0;72404,4;72404,4;2600;5050;10050;86;1146;2206;66153,6134;119055,875;66153,6134;72404,4;72404,4;0,0;43;6;;;;;;3;
CBC;cap131;600;0,19;0;0;72404,40000000072;72404,40000000072;2600;5050;10050;98;2499;4900;;;;;;;;;;;;;;;
CPLEX;cap132;120;0,06;0;0,0;77404,4;77404,4;89;1146;2209;89;1146;2209;0,0;956157,1875;0,0;77404,4;77404,4;0,05;36;9;;2;;;5;;
