solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;wlp03.dzn;1800;1831,2;35,506512684989424;0;94600,0;61010,839;1551645;1086000;3205950;1551645;1086000;3205950;;;;;;;;;;;;;;
CPLEX;wlp03.dzn;3600;3601,81;0,7;3826,0;64496,0;64047,010076;1034595;568950;2171850;1034595;568950;2171850;0,0;318359,0;0,0;63591,5608;67742,0;206,34;20;34;424;79;22;;;17
GUROBI;wlp03.dzn;3600;3600,65;0,2845;3172,0;64333,0;64150,0;1551645;1086000;3205950;1034595;568950;2171850;61010,8388;93730,0;61010,8388;63781,4782;66412,0;297,0;62;6;350;104;307;2;33;5
CBC;wlp03.dzn;3600;4127,83;33,86230338266385;0;94600,0;62566,261;1551645;1086000;3205950;1551645;1086000;3205950;;;;;;;;;;;;;;
CPLEX;wlp04.dzn;600;603,05;6,83;0,0;89952,0;83809,31935;2517479;1354400;5225400;2517479;1354400;5225400;0,0;453403,0;0,0;83809,31935;89952,0;;4;59;458;;24;;;48
GUROBI;wlp04.dzn;600;601,05;4,9894;1,0;88368,0;83959,0;3775879;2612800;7742200;2517479;1354400;5225400;80900,664;126225,0;80900,664;83958,369;88368,0;88,0;3;;425;6;110;;48;
CBC;wlp04.dzn;600;950,09;;0;;80900,664;3775879;2612800;7742200;3775879;2612800;7742200;;;;;;;;;;;;;;
CPLEX;wlp04.dzn;1800;1825,72;1,66;859,0;85286,0;83871,128813;2517479;1354400;5225400;2517479;1354400;5225400;0,0;453403,0;0,0;83810,213;89952,0;675,8;4;55;488;;24;;;46
GUROBI;wlp04.dzn;1800;1801,49;1,0468;743,0;84924,0;84035,0;3775879;2612800;7742200;2517479;1354400;5225400;80900,664;126225,0;80900,664;83958,369;88368,0;631,0;29;7;411;20;149;1;52;2
CBC;wlp04.dzn;1800;2064,02;35,493115601129055;0;125414,0;80900,664;3775879;2612800;7742200;3775879;2612800;7742200;;;;;;;;;;;;;;
CPLEX;wlp04.dzn;3600;3729,88;0,68;1237,0;84861,0;84283,356029;2517479;1354400;5225400;2517479;1354400;5225400;0,0;453403,0;0,0;83810,213;89952,0;678,34;23;51;502;62;31;;;34
GUROBI;wlp04.dzn;3600;3602,93;0,6453;830,0;84919,0;84371,0;3775879;2612800;7742200;2517479;1354400;5225400;80900,664;126225,0;80900,664;;;;;;;;;;;
CBC;wlp04.dzn;3600;3822,05;35,401946709039656;0;125237,0;80900,664;3775879;2612800;7742200;3775879;2612800;7742200;;;;;;;;;;;;;;
CPLEX;wlp05.dzn;600;850,06;;0,0;;;4875851;2588000;10050750;4875851;2588000;10050750;99903,6353;;;99903,6353;;;;74;281;1;24;;;
GUROBI;wlp05.dzn;600;603,46;9,9047;1,0;114340,0;103015,0;7313351;5025500;14925750;4875851;2588000;10050750;99903,6353;149909,0;99903,6353;103014,587;114340,0;196,0;8;;454;12;140;;37;1
CBC;wlp05.dzn;600;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;wlp05.dzn;1800;1820,45;8,07;0,0;111926,0;102891,54759;4875851;2588000;10050750;4875851;2588000;10050750;99903,6353;570583,0;99903,6353;102891,54759;111926,0;;;66;486;8;48;;;2
GUROBI;wlp05.dzn;1800;1840,45;1,9308;100,0;105139,0;103109,0;7313351;5025500;14925750;4875851;2588000;10050750;99903,6353;149909,0;99903,6353;103090,505;108003,0;1470,0;11;;483;11;206;;44;
CBC;wlp05.dzn;1800;4814,64;;0;;99903,635;7313351;5025500;14925750;7313351;5025500;14925750;;;;;;;;;;;;;;
CPLEX;wlp05.dzn;3600;4067,02;5,94;69,0;109420,0;102918,94572;4875851;2588000;10050750;4875851;2588000;10050750;99903,6353;570583,0;99903,6353;102894,0042;109558,0;2228,08;;66;513;8;47;;;2
GUROBI;wlp05.dzn;3600;3612,98;1,0674;726,0;104274,0;103161,0;7313351;5025500;14925750;4875851;2588000;10050750;99903,6353;149909,0;99903,6353;;;;;;;;;;;
CBC;wlp05.dzn;3600;3637,38;;0;;99903,635;7313351;5025500;14925750;7313351;5025500;14925750;;;;;;;;;;;;;;
CPLEX;wlp06.dzn;600;1011,98;;0,0;;;8221605;4322100;16864500;8221605;4322100;16864500;107324,2494;;;;;;;;;;;;;
GUROBI;wlp06.dzn;600;777,86;100,0;1,0;194114,0;0,0;12331905;8432400;25085100;8221605;4322100;16864500;;;;;;;;;;;;;;
CBC;wlp06.dzn;600;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;wlp06.dzn;1800;3536,28;;0,0;;;8221605;4322100;16864500;8221605;4322100;16864500;107324,2494;;;107324,2494;;;4;129;403;10;;;;
GUROBI;wlp06.dzn;1800;1807,09;6,1842;1,0;117962,0;110667,0;12331905;8432400;25085100;8221605;4322100;16864500;107324,249;194114,0;107324,249;110666,819;117962,0;590,0;9;;566;11;208;;52;
CBC;wlp06.dzn;1800;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;wlp06.dzn;3600;3634,03;8,98;0,0;121403,0;110501,75428;8221605;4322100;16864500;8221605;4322100;16864500;107324,2494;121403,0;110501,7543;110501,7543;121403,0;;8;88;632;1;39;;;2
GUROBI;wlp06.dzn;3600;3674,44;4,4592;53,0;115894,0;110726,0;12331905;8432400;25085100;8221605;4322100;16864500;107324,249;194114,0;107324,249;110717,021;116303,0;3082,0;10;;562;11;214;;55;
CBC;wlp06.dzn;3600;;;;;;;;;;;;;;;;;;;;;;;;;
