solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;capa3;300;300,07;2,27;4099,0;17765201,949;17362721,103;1100;100100;200100;1100;100100;200100;0,0;207828000,0;0,0;17352300,0;19303500,0;89,74;4;71;2;;9268;;33;;;4;71;2;;33;;;2;;9268;;33;;;4;71;2;;9268;33;;;
GUROBI;capa3;300;300,03;3,7955;1335,0;18017070,14804;17333227,101;1100;100100;200100;1100;100100;200100;10348000,0;210470000,0;10348000,0;13362000,0;21394000,0;8,0;;56;7;;6785;;4;38;20;;56;7;;4;38;20;7;;6785;;4;38;20;;56;7;;6785;4;;38;20
CBC;capa3;300;322,3;89,548994595997;0;163734180,0;17111868,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa3;600;600,09;0,45;6560,0;17765201,949;17685240,347;1100;100100;200100;1100;100100;200100;0,0;207828000,0;0,0;17352300,0;19303500,0;89,91;4;77;4;;9421;;93;;;4;77;4;;93;;;4;;9421;;93;;;4;77;4;;9421;93;;;
GUROBI;capa3;600;600,01;0,7948;3720,0;17765201,94899;17624004,45844;1100;100100;200100;1100;100100;200100;10348000,0;210470000,0;10348000,0;13362000,0;21394000,0;8,0;;84;10;11;9163;;10;63;20;;84;10;11;10;63;20;10;11;9163;;10;63;20;;84;10;11;9163;10;;63;20
CBC;capa3;600;599,34;89,45719580358848;0;163734180,0;17262174,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa4;120;120,1;0,03;1417,0;17160439,013;17154885,974;1100;100100;200100;1100;100100;200100;0,0;207830000,0;0,0;17152100,0;17215400,0;70,38;8;74;1;;10143;;;;;8;74;1;;;;;1;;10143;;;;;8;74;1;;10143;;;;
GUROBI;capa4;120;120,09;14,4366;1327,0;18929087,47131;16196377,45563;1100;100100;200100;1100;100100;200100;9337014,27;210470000,0;9337014,27;12529000,0;20572000,0;8,0;;78;2;9;8883;;132;42;21;;78;2;9;132;42;21;2;9;8883;;132;42;21;;78;2;9;8883;132;;42;21
CBC;capa4;120;141,8;90,63931556519171;0;174205050,0;16306785,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa4;300;231,95;0;3822,0;17160439,013;17158959,457;1100;100100;200100;1100;100100;200100;0,0;207830000,0;0,0;17152100,0;17215400,0;70,04;8;73;55;;9979;;340;;;8;73;55;;340;;;55;;9979;;340;;;8;73;55;;9979;340;;;
