solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;capc2;600;598,93;77,80415356289888;8;51824471,0;11502880,0;1100;100100;200100;1100;100100;200100;11502880,0;51824471;11502880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc3;120;67,25;0;130,0;11518743,744;11517673,884;1100;100100;200100;1100;100100;200100;0,0;82791800,0;0,0;11507300,0;11900500,0;45,19;7;45;;;6332;;6;;1;7;45;;;6;;1;;;6332;;6;;1;7;45;;;6332;6;;;1
GUROBI;capc3;120;120,32;3,5396;1318,0;11612178,67498;11201156,04607;1100;100100;200100;1100;100100;200100;6816861,5;82495000,0;6816861,5;11079000,0;11899000,0;39,0;;;26;;947;;;58;25;;;26;;;58;25;26;;947;;;58;25;;;26;;947;;;58;25
CBC;capc3;120;135,07;79,0904555604706;0;53599690,0;11207451,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc3;300;68,08;0;130,0;11518743,744;11517673,884;1100;100100;200100;1100;100100;200100;0,0;82791800,0;0,0;11507300,0;11900500,0;45,06;7;45;;;6332;;6;;1;7;45;;;6;;1;;;6332;;6;;1;7;45;;;6332;6;;;1
GUROBI;capc3;300;300,01;0,2709;1368,0;11539858,5759;11508601,10831;1100;100100;200100;1100;100100;200100;6816861,5;82495000,0;6816861,5;11079000,0;11899000,0;39,0;3;51;3;1;6553;;3;49;14;3;51;3;1;3;49;14;3;1;6553;;3;49;14;3;51;3;1;6553;3;;49;14
CBC;capc3;300;300,55;78,71127239728438;0;53599690,0;11410692,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc3;600;67,26;0;130,0;11518743,744;11517673,884;1100;100100;200100;1100;100100;200100;0,0;82791800,0;0,0;11507300,0;11900500,0;44,98;7;45;;;6332;;6;;1;7;45;;;6;;1;;;6332;;6;;1;7;45;;;6332;6;;;1
GUROBI;capc3;600;316,65;0;1498,0;11518743,7436;11518623,80612;1100;100100;200100;1100;100100;200100;6816861,5;82495000,0;6816861,5;11079000,0;11899000,0;39,0;3;52;4;1;6554;;3;53;14;3;52;4;1;3;53;14;4;1;6554;;3;53;14;3;52;4;1;6554;3;;53;14
CBC;capc3;600;602,74;78,54936474446028;0;53599690,0;11497474,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc4;120;53,86;0;28,0;11505767,394;11505767,394;1100;100100;200100;1100;100100;200100;0,0;82682600,0;0,0;11501000,0;11541500,0;46,06;5;50;1;;6954;;3;;6;5;50;1;;3;;6;1;;6954;;3;;6;5;50;1;;6954;3;;;6
GUROBI;capc4;120;120,01;4,4743;1258,0;11535255,5102;11019139,02023;1100;100100;200100;1100;100100;200100;6409201,05;82495000,0;6409201,05;10840000,0;12018000,0;35,0;3;24;13;6;3480;;;42;20;3;24;13;6;;42;20;13;6;3480;;;42;20;3;24;13;6;3480;;1;42;20
CBC;capc4;120;123,03;79,41640422185951;0;54218384,0;11160093,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc4;300;53,87;0;28,0;11505767,394;11505767,394;1100;100100;200100;1100;100100;200100;0,0;82682600,0;0,0;11501000,0;11541500,0;46,1;5;50;1;;6954;;3;;6;5;50;1;;3;;6;1;;6954;;3;;6;5;50;1;;6954;3;;;6
GUROBI;capc4;300;300,02;0,0808;1312,0;11509407,81882;11500107,2498;1100;100100;200100;1100;100100;200100;6409201,05;82495000,0;6409201,05;10840000,0;12018000,0;35,0;2;31;38;1;4411;;1;36;22;2;31;38;1;1;36;22;38;1;4411;;1;36;22;2;31;38;1;4411;1;1;36;22
CBC;capc4;300;317,5;78,9726838778522;0;54218384,0;11400671,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capc4;600;53,77;0;28,0;11505767,394;11505767,394;1100;100100;200100;1100;100100;200100;0,0;82682600,0;0,0;11501000,0;11541500,0;46,09;5;50;1;;6954;;3;;6;5;50;1;;3;;6;1;;6954;;3;;6;5;50;1;;6954;3;;;6
GUROBI;capc4;600;336,88;0;1345,0;11505767,39444;11505440,94146;1100;100100;200100;1100;100100;200100;6409201,05;82495000,0;6409201,05;10840000,0;12018000,0;35,0;2;47;7;;6081;;3;43;21;2;47;7;;3;43;21;7;;6081;;3;43;21;2;47;7;;6081;3;;43;21
CBC;capc4;600;601,45;78,81810346837338;0;54218384,0;11484482,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
