solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;cap62;300;0,02;0;0;977799,3999999999;977799,3999999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap62;600;0,04;0;0,0;977799,4;977799,4;66;815;1615;66;815;1615;0,0;2513934,525;0,0;977799,4;977799,4;0,03;;;;10;;;;;;;;10;65;;;;;;;;10;;65;;;;;;;;10;;;;;;10;65;;;;;;;;;10;65;;;;;
GUROBI;cap62;600;0,02;0;1,0;977799,4;977738,6567326;66;816;1616;66;815;1615;883917,687;2321910,81;883917,687;977738,657;977799,4;0,0;;;4;6;;;;;;;4;6;57;;;;;;;4;6;;57;;;;;;;4;6;;;;;4;6;57;;;;;;;;4;6;57;;;;;
CBC;cap62;600;0,03;0;0;977799,3999999999;977799,3999999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap63;120;0,06;0;9,0;1014062,05;1013976,3625;66;815;1615;66;815;1615;0,0;2588934,525;0,0;1012720,9772;1014062,05;0,05;;;;10;;;;;;;;10;72;;;;;;;;10;;72;;;;;;;;10;;;;;;10;72;;;;;;;;;10;72;;;;;
GUROBI;cap63;120;0,04;0;1,0;1014062,05;1014049,071088;66;816;1616;66;815;1615;902175,204;2386910,81;902175,204;1014049,07;1014062,05;0,0;;;1;4;;6;;;;;1;4;69;;6;;;;;1;4;;69;;6;;;;;1;4;;6;;;1;4;69;;6;;;;;;1;4;69;;6;;;
CBC;cap63;120;0,06;0;2;1014062,05;1014062,05;66;816;1616;66;815;1615;1013991,0;1014062;1013991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap63;300;0,05;0;9,0;1014062,05;1013976,3625;66;815;1615;66;815;1615;0,0;2588934,525;0,0;1012720,9772;1014062,05;0,05;;;;10;;;;;;;;10;72;;;;;;;;10;;72;;;;;;;;10;;;;;;10;72;;;;;;;;;10;72;;;;;
GUROBI;cap63;300;0,04;0;1,0;1014062,05;1014049,071088;66;816;1616;66;815;1615;902175,204;2386910,81;902175,204;1014049,07;1014062,05;0,0;;;1;4;;6;;;;;1;4;69;;6;;;;;1;4;;69;;6;;;;;1;4;;6;;;1;4;69;;6;;;;;;1;4;69;;6;;;
CBC;cap63;300;0,06;0;2;1014062,05;1014062,05;66;816;1616;66;815;1615;1013991,0;1014062;1013991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
