solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;p3;120;0,07;0;0;9238,098282669776;9238,098282669776;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p3;300;0,24;0;0,0;9238,0982827;9238,0982827;60;510;1010;60;510;1010;0,0;25732,0568;0,0;113,0;9238,0983;0,23;;;1;4;;;;4;;;1;4;;52;;;;4;;;1;4;;;;4;1;4;52;;;;;4;;1;4;52;;;;;4
GUROBI;p3;300;0,01;0;1,0;9238,098282671;9238,098282671;60;510;1010;60;510;1010;8034,86114;25026,5809;8034,86114;9238,09828;9238,09828;0,0;;;1;3;;1;;;;;1;3;;39;;1;;;;;1;3;;1;;;1;3;39;;1;;;;;1;3;39;;1;;;
CBC;p3;300;0,08;0;0;9238,098282669776;9238,098282669776;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p3;600;0,03;0;0,0;9238,0982827;9238,0982827;60;510;1010;60;510;1010;0,0;25732,0568;0,0;113,0;9238,0983;0,03;;;1;4;;;;4;;;1;4;;52;;;;4;;;1;4;;;;4;1;4;52;;;;;4;;1;4;52;;;;;4
GUROBI;p3;600;0,01;0;1,0;9238,098282671;9238,098282671;60;510;1010;60;510;1010;8034,86114;25026,5809;8034,86114;9238,09828;9238,09828;0,0;;;1;3;;1;;;;;1;3;;39;;1;;;;;1;3;;1;;;1;3;39;;1;;;;;1;3;39;;1;;;
CBC;p3;600;0,07;0;0;9238,098282669776;9238,098282669776;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p4;120;0,03;0;0,0;10638,098283;10638,098283;60;510;1010;60;510;1010;0,0;27732,0568;0,0;10638,0983;10638,0983;0,03;;;;3;;;;3;;;;3;;55;;;;3;;;;3;;;;3;;3;55;;;;;3;;;3;55;;;;;3
GUROBI;p4;120;0,03;0;1,0;10638,09828267;10638,09828267;60;510;1010;60;510;1010;9258,97361;27026,5809;9258,97361;10638,0983;10638,0983;0,0;;;4;2;;2;1;;;;4;2;;43;;2;1;;;;4;2;;2;1;;4;2;43;;2;;1;;;4;2;43;;2;;1;
CBC;p4;120;0,11;0;4;10638,09828266978;10638,09828266978;60;510;1010;60;510;1010;10596,667;10734,392;10596,667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p4;300;0,04;0;0,0;10638,098283;10638,098283;60;510;1010;60;510;1010;0,0;27732,0568;0,0;10638,0983;10638,0983;0,03;;;;3;;;;3;;;;3;;55;;;;3;;;;3;;;;3;;3;55;;;;;3;;;3;55;;;;;3
GUROBI;p4;300;0,03;0;1,0;10638,09828267;10638,09828267;60;510;1010;60;510;1010;9258,97361;27026,5809;9258,97361;10638,0983;10638,0983;0,0;;;4;2;;2;1;;;;4;2;;43;;2;1;;;;4;2;;2;1;;4;2;43;;2;;1;;;4;2;43;;2;;1;
CBC;p4;300;0,13;0;4;10638,09828266978;10638,09828266978;60;510;1010;60;510;1010;10596,667;10734,392;10596,667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p4;600;0,04;0;0,0;10638,098283;10638,098283;60;510;1010;60;510;1010;0,0;27732,0568;0,0;10638,0983;10638,0983;0,04;;;;3;;;;3;;;;3;;55;;;;3;;;;3;;;;3;;3;55;;;;;3;;;3;55;;;;;3
GUROBI;p4;600;0,03;0;1,0;10638,09828267;10638,09828267;60;510;1010;60;510;1010;9258,97361;27026,5809;9258,97361;10638,0983;10638,0983;0,0;;;4;2;;2;1;;;;4;2;;43;;2;1;;;;4;2;;2;1;;4;2;43;;2;;1;;;4;2;43;;2;;1;
CBC;p4;600;0,12;0;4;10638,09828266978;10638,09828266978;60;510;1010;60;510;1010;10596,667;10734,392;10596,667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p5;120;0,03;0;0,0;8748,8459615;8748,8459615;60;510;1010;60;510;1010;0,0;24903,3922;0,0;98,0;8748,846;0,02;;;;5;;5;;;;;;5;;35;;5;;;;;;5;;5;;;;5;35;;5;;;;;;5;35;;5;;;
GUROBI;p5;120;0,01;0;1,0;8748,845961542;8748,845961542;60;510;1010;60;510;1010;7885,80049;24004,2086;7885,80049;8748,84596;8748,8459615;0,0;;;;2;;;;;;;;2;;26;;;;;;;;2;;;;;;2;26;;;1;;;;;2;26;;;1;;
CBC;p5;120;0,01;0;0;8748,845961541245;8748,845961541245;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p5;300;0,03;0;0,0;8748,8459615;8748,8459615;60;510;1010;60;510;1010;0,0;24903,3922;0,0;98,0;8748,846;0,03;;;;5;;5;;;;;;5;;35;;5;;;;;;5;;5;;;;5;35;;5;;;;;;5;35;;5;;;
GUROBI;p5;300;0,01;0;1,0;8748,845961542;8748,845961542;60;510;1010;60;510;1010;7885,80049;24004,2086;7885,80049;8748,84596;8748,8459615;0,0;;;;2;;;;;;;;2;;26;;;;;;;;2;;;;;;2;26;;;1;;;;;2;26;;;1;;
CBC;p5;300;0,02;0;0;8748,845961541245;8748,845961541245;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p5;600;0,04;0;0,0;8748,8459615;8748,8459615;60;510;1010;60;510;1010;0,0;24903,3922;0,0;98,0;8748,846;0,04;;;;5;;5;;;;;;5;;35;;5;;;;;;5;;5;;;;5;35;;5;;;;;;5;35;;5;;;
GUROBI;p5;600;0,01;0;1,0;8748,845961542;8748,845961542;60;510;1010;60;510;1010;7885,80049;24004,2086;7885,80049;8748,84596;8748,8459615;0,0;;;;2;;;;;;;;2;;26;;;;;;;;2;;;;;;2;26;;;1;;;;;2;26;;;1;;
CBC;p5;600;0,02;0;0;8748,845961541245;8748,845961541245;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p6;120;0,06;0;0,0;7695,5604921;7695,5604921;60;510;1010;60;510;1010;0,0;23589,3922;0,0;82,0;7695,5605;0,06;;;;7;;;;1;;;;7;;26;;;;1;;;;7;;;;1;;7;26;;;;;1;;;7;26;;;;;1
GUROBI;p6;120;0,01;0;1,0;7695,56049214;7695,56049214;60;510;1010;60;510;1010;6957,56049;22690,2086;6957,56049;7695,56049;7695,5604921;0,0;;;;5;;;;;;;;5;;28;;;;;;;;5;;;;;;5;28;;;1;;;;;5;28;;;1;;
CBC;p6;120;0,02;0;0;7695,560492139499;7695,560492139499;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p6;300;0,03;0;0,0;7695,5604921;7695,5604921;60;510;1010;60;510;1010;0,0;23589,3922;0,0;82,0;7695,5605;0,03;;;;7;;;;1;;;;7;;26;;;;1;;;;7;;;;1;;7;26;;;;;1;;;7;26;;;;;1
GUROBI;p6;300;0,01;0;1,0;7695,56049214;7695,56049214;60;510;1010;60;510;1010;6957,56049;22690,2086;6957,56049;7695,56049;7695,5604921;0,0;;;;5;;;;;;;;5;;28;;;;;;;;5;;;;;;5;28;;;1;;;;;5;28;;;1;;
CBC;p6;300;0,02;0;0;7695,560492139499;7695,560492139499;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p6;600;0,03;0;0,0;7695,5604921;7695,5604921;60;510;1010;60;510;1010;0,0;23589,3922;0,0;82,0;7695,5605;0,02;;;;7;;;;1;;;;7;;26;;;;1;;;;7;;;;1;;7;26;;;;;1;;;7;26;;;;;1
GUROBI;p6;600;0,01;0;1,0;7695,56049214;7695,56049214;60;510;1010;60;510;1010;6957,56049;22690,2086;6957,56049;7695,56049;7695,5604921;0,0;;;;5;;;;;;;;5;;28;;;;;;;;5;;;;;;5;28;;;1;;;;;5;28;;;1;;
CBC;p6;600;0,02;0;0;7695,560492139499;7695,560492139499;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p7;120;0,03;0;0,0;9398,8459615;9398,8459615;60;510;1010;60;510;1010;0,0;25589,3922;0,0;9398,846;9398,846;0,03;;;;5;;4;;4;;;;5;;41;;4;;4;;;;5;;4;;4;;5;41;;4;;;4;;;5;41;;4;;;4
GUROBI;p7;120;0,02;0;1,0;9398,845961542;9398,845961542;60;510;1010;60;510;1010;8413,56049;24690,2086;8413,56049;9398,84596;9398,84596;0,0;;;;3;;3;;;;;;3;;27;;3;;;;;;3;;3;;;;3;27;;3;1;;;;;3;27;;3;1;;
CBC;p7;120;0,12;0;6;9398,845961541245;9398,845961541245;60;510;1010;60;510;1010;9376,7058;9773,5605;9376,7058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p7;300;0,07;0;0,0;9398,8459615;9398,8459615;60;510;1010;60;510;1010;0,0;25589,3922;0,0;9398,846;9398,846;0,06;;;;5;;4;;4;;;;5;;41;;4;;4;;;;5;;4;;4;;5;41;;4;;;4;;;5;41;;4;;;4
GUROBI;p7;300;0,02;0;1,0;9398,845961542;9398,845961542;60;510;1010;60;510;1010;8413,56049;24690,2086;8413,56049;9398,84596;9398,84596;0,0;;;;3;;3;;;;;;3;;27;;3;;;;;;3;;3;;;;3;27;;3;1;;;;;3;27;;3;1;;
CBC;p7;300;0,13;0;6;9398,845961541245;9398,845961541245;60;510;1010;60;510;1010;9376,7058;9773,5605;9376,7058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p7;600;0,03;0;0,0;9398,8459615;9398,8459615;60;510;1010;60;510;1010;0,0;25589,3922;0,0;9398,846;9398,846;0,03;;;;5;;4;;4;;;;5;;41;;4;;4;;;;5;;4;;4;;5;41;;4;;;4;;;5;41;;4;;;4
GUROBI;p7;600;0,02;0;1,0;9398,845961542;9398,845961542;60;510;1010;60;510;1010;8413,56049;24690,2086;8413,56049;9398,84596;9398,84596;0,0;;;;3;;3;;;;;;3;;27;;3;;;;;;3;;3;;;;3;27;;3;1;;;;;3;27;;3;1;;
CBC;p7;600;0,13;0;6;9398,845961541245;9398,845961541245;60;510;1010;60;510;1010;9376,7058;9773,5605;9376,7058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p8;120;0,03;0;0,0;10998,845962;10998,845962;60;510;1010;60;510;1010;0,0;27589,3922;0,0;10998,846;10998,846;0,03;;;;5;;;;3;;;;5;;45;;;;3;;;;5;;;;3;;5;45;;;;;3;;;5;45;;;;;3
GUROBI;p8;120;0,02;0;1,0;10998,84596154;10998,84596154;60;510;1010;60;510;1010;9869,56049;26690,2086;9869,56049;10938,27;10998,845962;0,0;;;;7;;3;;;;;;7;;27;;3;;;;;;7;;3;;;;7;27;;3;1;;;;;7;27;;3;1;;
