solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;capa4;120;120,03;13,82;0,0;19619981,497;16908585,896;1100;100100;200100;1100;100100;200100;0,0;210113000,0;0,0;16908585,896;19620000,0;;4092;902;;;;;2289;;14;4092;902;;;2289;;14
GUROBI;capa4;120;120,01;6,6821;1332,0;17160781,53878;16014085,15975;1100;100100;200100;1100;100100;200100;9337014,27;119920000,0;9337014,27;12329000,0;19156000,0;7,0;6824;496;354;4;;;421;;2;6824;496;354;4;421;;2
CBC;capa4;120;136,68;89,20879907425035;0;149128870,0;16092796,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa4;300;215,41;0;0,0;17160809,041;17160474,432;1100;100100;200100;1100;100100;200100;0,0;210113000,0;0,0;17160500,0;17160800,0;;4504;1137;79;;;;2582;;32;4504;1137;79;;2582;;32
GUROBI;capa4;300;297,17;0;1534,0;17160704,09226;17160446,1397;1100;100100;200100;1100;100100;200100;9337014,27;119920000,0;9337014,27;12329000,0;19156000,0;7,0;8281;650;455;4;;;408;;2;8281;650;455;4;408;;2
CBC;capa4;300;316,13;88,77162349583953;0;149128870,0;16744751,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa4;600;214,71;0;0,0;17160809,041;17160474,432;1100;100100;200100;1100;100100;200100;0,0;210113000,0;0,0;17160500,0;17160800,0;;4504;1137;79;;;;2582;;32;4504;1137;79;;2582;;32
GUROBI;capa4;600;297,15;0;1534,0;17160704,09226;17160446,1397;1100;100100;200100;1100;100100;200100;9337014,27;119920000,0;9337014,27;12329000,0;19156000,0;7,0;8281;650;455;4;;;408;;2;8281;650;455;4;408;;2
CBC;capa4;600;644,72;88,53914939474832;0;149128870,0;17091437,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capb1;120;120,07;0,43;179,0;13662523,607;13603108,183;1100;100100;200100;1100;100100;200100;0,0;103987000,0;0,0;13597600,0;13691500,0;77,44;3231;540;42;;;;996;;42;3231;540;42;;996;;42
GUROBI;capb1;120;120,01;0,7007;946,0;13657479,68027;13561786,8641;1100;100100;200100;1100;100100;200100;10054000,0;61733000,0;10054000,0;13473000,0;15276000,0;36,0;3879;517;;;;;164;69;;3879;517;;;164;69;
CBC;capb1;120;129,53;74,72855650576639;0;53478073,0;13514681,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;
