solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;cap74;300;0,17;0;31;1034976,975;1034976,975;66;816;1616;65;814;1564;1034977,0;1212970,2;1034977,0;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap74;600;0,03;0;0,0;1034976,975;1034976,975;65;815;1565;65;815;1565;0,0;2911862,6;0,0;1034976,975;1034976,975;0,03;;;3;15;93;;;;;;;3;15;;;;3;15;93;;;;
GUROBI;cap74;600;0,01;0;1,0;1034976,975;1034976,975;66;816;1616;50;134;253;969346,684;1253114,93;969346,684;1032835,11;1034976,98;0,0;;;3;5;46;;;1;;;;3;5;;1;;3;5;46;;;1;
CBC;cap74;600;0,17;0;31;1034976,975;1034976,975;66;816;1616;65;814;1564;1034977,0;1212970,2;1034977,0;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap91;120;0,04;0;0,0;796648,4375;796648,4375;75;1274;2524;75;1274;2524;0,0;3217801,7625;0,0;796648,4375;796648,4375;0,04;;;1;20;64;2;5;;;;;1;20;5;;;1;20;64;2;5;;
GUROBI;cap91;120;0,03;0;1,0;796648,4375;796648,4375;75;1275;2525;75;1274;2524;680700,15;2963778,51;680700,15;796648,438;796648,438;0,0;;;9;4;66;;;;;;;9;4;;;;9;4;66;;;;
CBC;cap91;120;0,04;0;0;796648,4374999999;796648,4374999999;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap91;300;0,04;0;0,0;796648,4375;796648,4375;75;1274;2524;75;1274;2524;0,0;3217801,7625;0,0;796648,4375;796648,4375;0,04;;;1;20;64;2;5;;;;;1;20;5;;;1;20;64;2;5;;
GUROBI;cap91;300;0,03;0;1,0;796648,4375;796648,4375;75;1275;2525;75;1274;2524;680700,15;2963778,51;680700,15;796648,438;796648,438;0,0;;;9;4;66;;;;;;;9;4;;;;9;4;66;;;;
CBC;cap91;300;0,03;0;0;796648,4374999999;796648,4374999999;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap91;600;0,04;0;0,0;796648,4375;796648,4375;75;1274;2524;75;1274;2524;0,0;3217801,7625;0,0;796648,4375;796648,4375;0,04;;;1;20;64;2;5;;;;;1;20;5;;;1;20;64;2;5;;
GUROBI;cap91;600;0,03;0;1,0;796648,4375;796648,4375;75;1275;2525;75;1274;2524;680700,15;2963778,51;680700,15;796648,438;796648,438;0,0;;;9;4;66;;;;;;;9;4;;;;9;4;66;;;;
CBC;cap91;600;0,03;0;0;796648,4374999999;796648,4374999999;75;1275;2525;75;1274;2524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap92;120;0,07;0;35,0;855733,5;855733,5;75;1274;2524;75;1274;2524;0,0;3337801,7625;0,0;855109,3668;858109,325;0,06;;;;14;85;5;;;;;;;14;;;;;14;85;5;;;
GUROBI;cap92;120;0,07;0;1,0;855733,5;855733,5;75;1275;2525;75;1274;2524;699639,483;3073778,51;699639,483;855269,347;855733,5;0,0;;;1;;2;;1;;;;;1;;1;;;1;;2;;1;;
CBC;cap92;120;0,1;0;6;855733,5;855733,5;75;1275;2525;75;1274;2524;855559,29;867821,49;855559,29;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap92;300;0,08;0;35,0;855733,5;855733,5;75;1274;2524;75;1274;2524;0,0;3337801,7625;0,0;855109,3668;858109,325;0,07;;;;14;85;5;;;;;;;14;;;;;14;85;5;;;
GUROBI;cap92;300;0,07;0;1,0;855733,5;855733,5;75;1275;2525;75;1274;2524;699639,483;3073778,51;699639,483;855269,347;855733,5;0,0;;;1;;2;;1;;;;;1;;1;;;1;;2;;1;;
CBC;cap92;300;0,1;0;6;855733,5;855733,5;75;1275;2525;75;1274;2524;855559,29;867821,49;855559,29;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap92;600;0,08;0;35,0;855733,5;855733,5;75;1274;2524;75;1274;2524;0,0;3337801,7625;0,0;855109,3668;858109,325;0,06;;;;14;85;5;;;;;;;14;;;;;14;85;5;;;
GUROBI;cap92;600;0,07;0;1,0;855733,5;855733,5;75;1275;2525;75;1274;2524;699639,483;3073778,51;699639,483;855269,347;855733,5;0,0;;;1;;2;;1;;;;;1;;1;;;1;;2;;1;;
CBC;cap92;600;0,1;0;6;855733,5;855733,5;75;1275;2525;75;1274;2524;855559,29;867821,49;855559,29;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap93;120;0,1;0;88,0;896617,5375;896617,5375;75;1274;2524;75;1274;2524;0,0;3457801,7625;0,0;894959,203;897796,3625;0,08;;;1;13;118;4;;;;;;1;13;;;;1;13;118;4;;;
GUROBI;cap93;120;0,11;0;1,0;896617,5375;896617,5375;75;1275;2525;75;1274;2524;718457,333;3183778,51;718457,333;896617,538;896617,538;0,0;;;;1;48;;3;2;;;;;1;3;2;;;1;48;;3;2;
CBC;cap93;120;0,17;0;10;896617,5375;896617,5375;75;1275;2525;75;1274;2524;895503,45;1073215,0;895503,45;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap93;300;0,1;0;88,0;896617,5375;896617,5375;75;1274;2524;75;1274;2524;0,0;3457801,7625;0,0;894959,203;897796,3625;0,08;;;1;13;118;4;;;;;;1;13;;;;1;13;118;4;;;
GUROBI;cap93;300;0,1;0;1,0;896617,5375;896617,5375;75;1275;2525;75;1274;2524;718457,333;3183778,51;718457,333;896617,538;896617,538;0,0;;;;1;48;;3;2;;;;;1;3;2;;;1;48;;3;2;
CBC;cap93;300;0,16;0;10;896617,5375;896617,5375;75;1275;2525;75;1274;2524;895503,45;1073215,0;895503,45;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap93;600;0,1;0;88,0;896617,5375;896617,5375;75;1274;2524;75;1274;2524;0,0;3457801,7625;0,0;894959,203;897796,3625;0,08;;;1;13;118;4;;;;;;1;13;;;;1;13;118;4;;;
GUROBI;cap93;600;0,1;0;1,0;896617,5375;896617,5375;75;1275;2525;75;1274;2524;718457,333;3183778,51;718457,333;896617,538;896617,538;0,0;;;;1;48;;3;2;;;;;1;3;2;;;1;48;;3;2;
CBC;cap93;600;0,16;0;10;896617,5375;896617,5375;75;1275;2525;75;1274;2524;895503,45;1073215,0;895503,45;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap94;120;0,1;0;22,0;946051,325;946051,325;75;1274;2524;75;1274;2524;0,0;3637801,7625;0,0;944554,6066;946051,325;0,08;;;;5;127;1;;;;;;;5;;;;;5;127;1;;;
GUROBI;cap94;120;0,13;0;1,0;946051,325;946051,325;75;1275;2525;75;1274;2524;746143,367;3348778,51;746143,367;945581,901;946051,325;0,0;;;;;1;;4;;;;;;;4;;;;;1;;4;;
CBC;cap94;120;0,13;0;6;946051,325;946051,325;75;1275;2525;75;1274;2524;945939,52;968602,46;945939,52;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap94;300;0,09;0;22,0;946051,325;946051,325;75;1274;2524;75;1274;2524;0,0;3637801,7625;0,0;944554,6066;946051,325;0,08;;;;5;127;1;;;;;;;5;;;;;5;127;1;;;
GUROBI;cap94;300;0,13;0;1,0;946051,325;946051,325;75;1275;2525;75;1274;2524;746143,367;3348778,51;746143,367;945581,901;946051,325;0,0;;;;;1;;4;;;;;;;4;;;;;1;;4;;
CBC;cap94;300;0,12;0;6;946051,325;946051,325;75;1275;2525;75;1274;2524;945939,52;968602,46;945939,52;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap94;600;0,1;0;22,0;946051,325;946051,325;75;1274;2524;75;1274;2524;0,0;3637801,7625;0,0;944554,6066;946051,325;0,08;;;;5;127;1;;;;;;;5;;;;;5;127;1;;;
GUROBI;cap94;600;0,13;0;1,0;946051,325;946051,325;75;1275;2525;75;1274;2524;746143,367;3348778,51;746143,367;945581,901;946051,325;0,0;;;;;1;;4;;;;;;;4;;;;;1;;4;;
CBC;cap94;600;0,12;0;6;946051,325;946051,325;75;1275;2525;75;1274;2524;945939,52;968602,46;945939,52;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap101;120;0,02;0;0,0;796648,4375;796648,4375;74;1274;2474;74;1274;2474;0,0;2894362,6;0,0;796648,4375;796648,4375;0,02;;;2;24;73;;11;;;;;2;24;11;;;2;24;73;;11;;
GUROBI;cap101;120;0,01;0;1,0;796648,4375;796648,4375;75;1275;2525;59;189;355;717778,423;1021846,15;717778,423;796648,438;796648,438;0,0;;;3;5;44;;;8;;;;3;5;;8;;3;5;44;;;8;
CBC;cap101;120;0,1;0;4;796648,4374999999;796648,4374999999;75;1275;2525;74;1273;2473;796648,44;832291,15;796648,44;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap101;300;0,02;0;0,0;796648,4375;796648,4375;74;1274;2474;74;1274;2474;0,0;2894362,6;0,0;796648,4375;796648,4375;0,02;;;2;24;73;;11;;;;;2;24;11;;;2;24;73;;11;;
GUROBI;cap101;300;0,01;0;1,0;796648,4375;796648,4375;75;1275;2525;59;189;355;717778,423;1021846,15;717778,423;796648,438;796648,438;0,0;;;3;5;44;;;8;;;;3;5;;8;;3;5;44;;;8;
