solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
GUROBI;p4;120;0,03;0;1,0;10714,0;10714,0;60;510;1010;60;510;1010;9258,97361;17102,0;9258,97361;10661,6662;10714,0;0,0;26;10;;3;;5;8;;26;10;;3;;;5;8;;26;10;;3;;;;5;8;
CBC;p4;120;0,33;0;6;10714,0;10714,0;60;510;1010;60;510;1010;10682,329;11858,0;10682,329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p4;300;0,05;0;0,0;10714,0;10714,0;60;510;1010;44;159;310;0,0;26132,0;0,0;10714,0;10714,0;0,05;29;11;1;3;4;5;;6;29;11;1;3;;4;5;;6;29;11;1;3;;;4;5;;6
GUROBI;p4;300;0,03;0;1,0;10714,0;10714,0;60;510;1010;60;510;1010;9258,97361;17102,0;9258,97361;10661,6662;10714,0;0,0;26;10;;3;;5;8;;26;10;;3;;;5;8;;26;10;;3;;;;5;8;
CBC;p4;300;0,33;0;6;10714,0;10714,0;60;510;1010;60;510;1010;10682,329;11858,0;10682,329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p4;600;0,05;0;0,0;10714,0;10714,0;60;510;1010;44;159;310;0,0;26132,0;0,0;10714,0;10714,0;0,05;29;11;1;3;4;5;;6;29;11;1;3;;4;5;;6;29;11;1;3;;;4;5;;6
GUROBI;p4;600;0,03;0;1,0;10714,0;10714,0;60;510;1010;60;510;1010;9258,97361;17102,0;9258,97361;10661,6662;10714,0;0,0;26;10;;3;;5;8;;26;10;;3;;;5;8;;26;10;;3;;;;5;8;
CBC;p4;600;0,33;0;6;10714,0;10714,0;60;510;1010;60;510;1010;10682,329;11858,0;10682,329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p5;120;0,03;0;0,0;8838,0;8838,0;60;510;1010;19;49;99;0,0;23410,0;0,0;125,0;8838,0;0,03;1;5;1;5;;;;1;1;5;1;5;;;;;1;1;5;1;5;;;;;;1
GUROBI;p5;120;0,02;0;1,0;8838,0;8838,0;60;510;1010;60;510;1010;7885,80049;14477,0;7885,80049;8838,0;8838,0;0,0;20;6;;5;;7;9;;20;6;;5;;;7;9;;20;6;;5;;;;7;9;
CBC;p5;120;0,09;0;2;8838,0;8838,0;60;510;1010;60;510;1010;8834,392;8907,0;8834,392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p5;300;0,04;0;0,0;8838,0;8838,0;60;510;1010;19;49;99;0,0;23410,0;0,0;125,0;8838,0;0,03;1;5;1;5;;;;1;1;5;1;5;;;;;1;1;5;1;5;;;;;;1
GUROBI;p5;300;0,02;0;1,0;8838,0;8838,0;60;510;1010;60;510;1010;7885,80049;14477,0;7885,80049;8838,0;8838,0;0,0;20;6;;5;;7;9;;20;6;;5;;;7;9;;20;6;;5;;;;7;9;
CBC;p5;300;0,09;0;2;8838,0;8838,0;60;510;1010;60;510;1010;8834,392;8907,0;8834,392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p5;600;0,03;0;0,0;8838,0;8838,0;60;510;1010;19;49;99;0,0;23410,0;0,0;125,0;8838,0;0,03;1;5;1;5;;;;1;1;5;1;5;;;;;1;1;5;1;5;;;;;;1
GUROBI;p5;600;0,02;0;1,0;8838,0;8838,0;60;510;1010;60;510;1010;7885,80049;14477,0;7885,80049;8838,0;8838,0;0,0;20;6;;5;;7;9;;20;6;;5;;;7;9;;20;6;;5;;;;7;9;
CBC;p5;600;0,09;0;2;8838,0;8838,0;60;510;1010;60;510;1010;8834,392;8907,0;8834,392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p6;120;0,02;0;0,0;7777,0;7777,0;60;510;1010;60;510;1010;0,0;22096,0;0,0;95,0;7777,0;0,02;18;9;1;9;;;;9;18;9;1;9;;;;;9;18;9;1;9;;;;;;9
GUROBI;p6;120;0,01;0;1,0;7777,0;7777,0;60;510;1010;60;510;1010;6957,56049;13163,0;6957,56049;7777,0;7777,0;0,0;20;7;;4;;7;7;;20;7;;4;;;7;7;;20;7;;4;;;;7;7;
CBC;p6;120;0,05;0;0;7777,0;7777,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p6;300;0,02;0;0,0;7777,0;7777,0;60;510;1010;60;510;1010;0,0;22096,0;0,0;95,0;7777,0;0,02;18;9;1;9;;;;9;18;9;1;9;;;;;9;18;9;1;9;;;;;;9
GUROBI;p6;300;0,01;0;1,0;7777,0;7777,0;60;510;1010;60;510;1010;6957,56049;13163,0;6957,56049;7777,0;7777,0;0,0;20;7;;4;;7;7;;20;7;;4;;;7;7;;20;7;;4;;;;7;7;
CBC;p6;300;0,05;0;0;7777,0;7777,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p6;600;0,02;0;0,0;7777,0;7777,0;60;510;1010;60;510;1010;0,0;22096,0;0,0;95,0;7777,0;0,02;18;9;1;9;;;;9;18;9;1;9;;;;;9;18;9;1;9;;;;;;9
GUROBI;p6;600;0,01;0;1,0;7777,0;7777,0;60;510;1010;60;510;1010;6957,56049;13163,0;6957,56049;7777,0;7777,0;0,0;20;7;;4;;7;7;;20;7;;4;;;7;7;;20;7;;4;;;;7;7;
CBC;p6;600;0,05;0;0;7777,0;7777,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p7;120;0,04;0;0,0;9488,0;9488,0;60;510;1010;46;151;296;0,0;24096,0;0,0;9488,0;9488,0;0,04;17;11;2;4;3;6;;6;17;11;2;4;;3;6;;6;17;11;2;4;;;3;6;;6
GUROBI;p7;120;0,02;0;1,0;9488,0;9488,0;60;510;1010;60;510;1010;8413,56049;15163,0;8413,56049;9488,0;9488,0;0,0;23;4;;5;;3;6;;23;4;;5;;;3;6;;23;4;;5;;;;3;6;
CBC;p7;120;0,19;0;6;9488,0;9488,0;60;510;1010;60;510;1010;9481,0937;9893,0;9481,0937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p7;300;0,04;0;0,0;9488,0;9488,0;60;510;1010;46;151;296;0,0;24096,0;0,0;9488,0;9488,0;0,04;17;11;2;4;3;6;;6;17;11;2;4;;3;6;;6;17;11;2;4;;;3;6;;6
GUROBI;p7;300;0,02;0;1,0;9488,0;9488,0;60;510;1010;60;510;1010;8413,56049;15163,0;8413,56049;9488,0;9488,0;0,0;23;4;;5;;3;6;;23;4;;5;;;3;6;;23;4;;5;;;;3;6;
CBC;p7;300;0,18;0;6;9488,0;9488,0;60;510;1010;60;510;1010;9481,0937;9893,0;9481,0937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p7;600;0,04;0;0,0;9488,0;9488,0;60;510;1010;46;151;296;0,0;24096,0;0,0;9488,0;9488,0;0,04;17;11;2;4;3;6;;6;17;11;2;4;;3;6;;6;17;11;2;4;;;3;6;;6
GUROBI;p7;600;0,02;0;1,0;9488,0;9488,0;60;510;1010;60;510;1010;8413,56049;15163,0;8413,56049;9488,0;9488,0;0,0;23;4;;5;;3;6;;23;4;;5;;;3;6;;23;4;;5;;;;3;6;
CBC;p7;600;0,17;0;6;9488,0;9488,0;60;510;1010;60;510;1010;9481,0937;9893,0;9481,0937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
